aqm,qmult,min_delay,bandwidth,protocol,run,flow,goodput_mean,goodput_std,delay_mean,delay_std,retr_mean,retr_std,util_mean,util_std
fifo,0.2,10,100,sage,1,1,43.6464171,6.1079266544487565,23.231949177943907,0.24373299681676788,4.03960396039604,11.2711319680671,90.19878472222224,20.42238704433485
fifo,0.2,10,100,sage,1,2,27.01933933,11.08289959319169,23.3409208270581,0.5443195221667552,1.613861386138614,2.877395687178609,90.19878472222224,20.42238704433485
fifo,0.2,10,100,sage,1,3,47.73322755,25.238312011521273,22.458389392292275,1.4377519163451626,1.5,4.74714161736866,90.19878472222224,20.42238704433485
fifo,0.2,10,100,sage,2,0,49.232956519999995,25.677405730813355,22.951665047226825,0.8522718402198498,22.52,146.47125273850796,91.62371133207073,17.984994937070773
fifo,0.2,10,100,sage,2,1,38.52091129,7.4563112190949905,23.218232328521406,0.3505734194531626,6.742574257425742,38.26007147545506,91.62371133207073,17.984994937070773
fifo,0.2,10,100,sage,2,2,14.47614999,13.511501985053519,24.047115116101242,1.1855261181382037,0.6137623762376238,1.9337346516444025,91.62371133207073,17.984994937070773
fifo,0.2,10,100,sage,2,3,58.67254169999999,21.81145223536285,22.3405502245391,1.3828819769710217,1.48,3.815121428624719,91.62371133207073,17.984994937070773
fifo,0.2,10,100,sage,3,0,42.31988743000001,29.341772215757047,22.969328006576628,1.0281930806471176,22.31,185.5698673183921,91.0570359848485,18.05361519513532
fifo,0.2,10,100,sage,3,1,45.32496733,6.457300564372206,23.1774976259955,0.30247020470860086,3.3168316831683167,4.307970968029629,91.0570359848485,18.05361519513532
fifo,0.2,10,100,sage,3,2,27.320535449999998,14.211066269594953,23.36500718045804,0.5634844515654843,1.1878217821782178,1.5274747814352914,91.0570359848485,18.05361519513532
fifo,0.2,10,100,sage,3,3,45.77190891,26.959947785098443,22.50493413977712,1.461304882466336,1.1199000000000001,1.444468722018199,91.0570359848485,18.05361519513532
fifo,0.2,10,100,sage,4,0,48.09952654,24.532902527078853,22.886607172491374,0.9646171831698812,29.04,179.1630891820425,91.20746212121216,17.99119579605661
fifo,0.2,10,100,sage,4,1,34.40379995999999,11.309463764129982,23.26850129521505,0.39684961285360687,7.524752475247524,55.07006338463866,91.20746212121216,17.99119579605661
fifo,0.2,10,100,sage,4,2,28.411541819999997,9.60837545287701,23.364284010179826,0.5178356113351836,1.7920792079207921,2.677001425786577,91.20746212121216,17.99119579605661
fifo,0.2,10,100,sage,4,3,50.29049642,26.14667268060608,22.506875663336043,1.4515454229286011,1.42,1.9078784028338913,91.20746212121216,17.99119579605661
fifo,0.2,10,100,sage,5,0,43.02572923999999,30.614755964725646,23.05632438096995,0.8004765037106786,4.599600000000001,19.86674028459006,91.69958491161618,18.158996223867913
fifo,0.2,10,100,sage,5,1,46.018810800000004,5.154565695229727,23.14961401606267,0.2608785353893877,3.5247524752475248,5.250893370476952,91.69958491161618,18.158996223867913
fifo,0.2,10,100,sage,5,2,38.687262630000006,15.774454065543615,23.136621477125704,0.5458163998975342,1.613861386138614,2.044359542887224,91.69958491161618,18.158996223867913
fifo,0.2,10,100,sage,5,3,35.2514605,36.64937413782088,23.12299366051474,1.5660249598053297,0.38,0.8012616314414425,91.69958491161618,18.158996223867913
fifo,0.2,10,100,vivace,1,0,79.69322941167175,16.304834186644896,23.838653388888886,0.5050072678347648,3229.5797,1612.3146857909223,94.80363873106062,5.54394985009526
fifo,0.2,10,100,vivace,1,1,2.8593864007737775,2.71577249467728,25.16580930555556,1.2586138951323016,19.04950495049505,11.085464570890805,94.80363873106062,5.54394985009526
fifo,0.2,10,100,vivace,1,2,24.369374690034682,18.815773218688125,23.410378750000003,1.2932176091491625,70.55445544554455,122.847260876873,94.80363873106062,5.54394985009526
fifo,0.2,10,100,vivace,1,3,52.14499356831502,24.40885235281076,23.098142222222226,1.126444692323351,827.74,1324.7788503838074,94.80363873106062,5.54394985009526
fifo,0.2,10,100,vivace,2,0,78.28138804339919,8.928274175082741,24.068617111111116,0.25709194340734326,5434.95,1637.4579360778225,94.81517045454547,5.517546904150919
